step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,5.000000e-04,9.433684e-01,3.472667e-07,0.000000e+00,9.433688e-01,9.433688e-01,0.000000e+00,0.000000e+00
1,1.000000e-03,9.433685e-01,3.518792e-07,4.492487e-04,9.433689e-01,9.438181e-01,1.200884e-04,8.986175e-01
2,1.500000e-03,9.433686e-01,3.523266e-07,1.728880e-03,9.433689e-01,9.450978e-01,1.694550e-04,2.559432e+00
3,2.000000e-03,9.433687e-01,3.528406e-07,3.853208e-03,9.433690e-01,9.472222e-01,1.488328e-04,4.248804e+00
4,2.500000e-03,9.433687e-01,3.533266e-07,6.815865e-03,9.433691e-01,9.501849e-01,1.379770e-04,5.925453e+00
5,3.000000e-03,9.734392e-01,1.217038e-06,1.061820e-02,9.734404e-01,9.840586e-01,6.014258e+01,6.774725e+01
6,3.500000e-03,9.743127e-01,3.589175e-06,1.525996e-02,9.743163e-01,9.895763e-01,1.751844e+00,1.103536e+01
7,4.000000e-03,9.739716e-01,4.337834e-06,2.074120e-02,9.739760e-01,9.947172e-01,-6.806551e-01,1.028182e+01
8,4.500000e-03,9.736176e-01,4.772867e-06,2.706190e-02,9.736224e-01,1.000684e+00,-7.070914e-01,1.193432e+01
9,5.000000e-03,9.733706e-01,5.071919e-06,3.422207e-02,9.733756e-01,1.007598e+00,-4.935771e-01,1.382677e+01
10,5.500000e-03,9.752891e-01,5.050937e-06,4.222172e-02,9.752942e-01,1.017516e+00,3.837078e+00,1.983636e+01
11,6.000000e-03,9.748971e-01,5.332789e-06,5.106145e-02,9.749025e-01,1.025964e+00,-7.834001e-01,1.689607e+01
12,6.500000e-03,9.748561e-01,5.958189e-06,6.074200e-02,9.748621e-01,1.035604e+00,-8.076298e-02,1.928034e+01
13,7.000000e-03,9.748106e-01,6.330289e-06,7.126229e-02,9.748169e-01,1.046079e+00,-9.031371e-02,2.095026e+01
14,7.500000e-03,9.747670e-01,6.516273e-06,8.262172e-02,9.747735e-01,1.057395e+00,-8.678207e-02,2.263208e+01
15,8.000000e-03,1.081419e+00,3.128611e-06,9.482153e-02,1.081422e+00,1.176243e+00,2.132968e+02,2.376964e+02
16,8.500000e-03,1.078212e+00,3.118885e-06,1.078527e-01,1.078215e+00,1.186067e+00,-6.414549e+00,1.964786e+01
17,9.000000e-03,1.074761e+00,3.336321e-06,1.217327e-01,1.074764e+00,1.196497e+00,-6.900351e+00,2.085951e+01
18,9.500000e-03,1.072536e+00,3.490172e-06,1.364504e-01,1.072540e+00,1.208990e+00,-4.449236e+00,2.498625e+01
19,1.000000e-02,1.071106e+00,3.574456e-06,1.520086e-01,1.071110e+00,1.223119e+00,-2.859676e+00,2.825676e+01
