step,time,message
0,1.000000e-03,"theta bounds violated: [-1.022357, 1.022503]"
1,2.000000e-03,"theta bounds violated: [-1.027241, 1.027183]"
1,2.000000e-03,"internal energy increasing: dE_internal/dt=39.349116"
2,3.000000e-03,"theta bounds violated: [-1.027700, 1.027850]"
2,3.000000e-03,"internal energy increasing: dE_internal/dt=26.242413"
3,4.000000e-03,"theta bounds violated: [-1.027107, 1.027230]"
3,4.000000e-03,"internal energy increasing: dE_internal/dt=18.643206"
4,5.000000e-03,"theta bounds violated: [-1.026166, 1.026192]"
4,5.000000e-03,"internal energy increasing: dE_internal/dt=13.989025"
5,6.000000e-03,"theta bounds violated: [-1.025089, 1.025003]"
5,6.000000e-03,"internal energy increasing: dE_internal/dt=10.923742"
6,7.000000e-03,"theta bounds violated: [-1.023950, 1.023950]"
6,7.000000e-03,"internal energy increasing: dE_internal/dt=8.784648"
7,8.000000e-03,"theta bounds violated: [-1.022829, 1.022871]"
7,8.000000e-03,"internal energy increasing: dE_internal/dt=7.224162"
8,9.000000e-03,"theta bounds violated: [-1.021858, 1.021820]"
8,9.000000e-03,"internal energy increasing: dE_internal/dt=6.046000"
9,1.000000e-02,"theta bounds violated: [-1.020860, 1.020906]"
9,1.000000e-02,"internal energy increasing: dE_internal/dt=5.132181"
10,1.100000e-02,"theta bounds violated: [-1.020014, 1.019982]"
10,1.100000e-02,"internal energy increasing: dE_internal/dt=4.408002"
11,1.200000e-02,"theta bounds violated: [-1.019151, 1.019194]"
11,1.200000e-02,"internal energy increasing: dE_internal/dt=3.824020"
